,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,vip>1,splot>0.8,Anova p-value <= 0.05,Max fold change >= 2,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
7.91_310.1882n,310.1882316,328.2219242,1,7.9084,0.776033333,0,3.93E-07,1.73E-06,3.044608523,HI_V,CK_V,100 - 14.7 - 0.234,854589.0455,21.52,376769.4986,273133.4804,270792.5901,342976.9806,181729.4702,238733.8007,874820.6842,777135.0191,633537.6549,796874.3982,1070129.472,914317.3062,309725.1701,279205.1836,151514.5873,258355.0918,184417.695,197800.8909,778919.7164,620084.3317,341604.6991,455907.0339,931653.4131,735807.3198,x,x,x,x,,,"M+H, M+NH4",,,,,,,
11.88_373.0905n,373.0904669,391.127482,1,11.87976667,0.424,0,0,0,35.25729331,HI_V,CK_V,100 - 9.8,2811069.641,11.97,73055.20779,99180.27309,61452.34392,82738.89143,83279.99416,78674.25026,2938491.919,2741297.107,2641510.465,2443449.997,2935024.511,3199076.352,60055.38331,101385.0309,34383.97824,62324.92295,84511.90961,65184.89104,2616363.94,2187310.24,1424307.428,1397944.322,2555228.759,2574493.319,x,x,x,x,,,"M+H, M+NH4",,,,,,,
11.45_1140.2912n,1140.291233,1141.29851,1,11.44958333,0.259583333,0,0.034010085,0.030329068,11.99365615,CK_V,HI_V,100 - 51.4 - 10.7 - 0.379,389847.1513,31.52,506387.0682,380838.385,477659.3403,435220.3261,162075.4442,376902.3436,46705.98022,7531.282831,20759.67649,0,26724.88131,47003.88902,416277.9138,389304.3469,267261.2193,327839.4577,164472.9377,312279.2797,41585.90386,6009.291007,11193.65674,0,23266.64907,37826.91781,x,x,x,x,,,"M+H, M+Na",,,,,,,
14.79_402.2733n,402.2732642,403.2805407,1,14.79498333,1.24605,0,2.76E-05,6.53E-05,15.48475285,CK_V,HI_V,100 - 24.3 - 0.0923,1896804.972,57.26,3717761.916,1843121.145,2479673.752,792980.0608,1622840.684,924452.2769,132186.1183,90609.00849,482609.7137,33472.80981,166527.6576,221042.2722,3056203.982,1884093.362,1387433.626,597329.99,1646846.479,765947.1904,117695.404,72297.8956,260224.0683,19150.43258,144978.7755,177886.2992,x,x,x,x,,,"M+H, M+Na",,,,,,,
12.93_342.0721n,342.0721148,343.0793912,1,12.93205,0.479666667,18,1.25E-10,1.42E-09,8.440266262,HI_V,CK_V,100 - 16.3,4720505.894,14.55,643898.9123,347525.3767,580694.8464,717906.4362,321076.1531,744602.2878,5255579.959,4220937.156,5299889.307,5131392.798,5193080.13,4237379.344,529320.1835,355250.7969,324911.9185,540779.1009,325825.6572,616933.9884,4679444.514,3367930.838,2857710.316,2935767.639,4521089.227,3410079.539,x,x,x,x,,,"M+H, M+Na",,,,,,,
12.93_372.1198n,372.1197587,373.1270351,1,12.93205,1.274766667,45,2.69E-12,3.79E-11,19.73341258,HI_V,CK_V,100 - 22.2,407601079.6,15.75,24590331.39,13276541.85,19824919.82,27318224.54,11179735.95,27742509.45,508894075.9,379233543.7,402798829.8,393287029.9,470408852.3,369677259.4,20214599.65,13571676.75,11092491.65,20578064.44,11345111.68,22985823.83,453107289.8,302594494.8,217189889.2,225007007,409537373,297502006.8,x,x,x,x,,,"M+H, M+Na",,,,,,,
8.19_772.2032n,772.2031747,773.2104511,1,8.185616667,0.442616667,0,9.06E-08,4.92E-07,4.750379061,HI_V,CK_V,100 - 30.1 - 3.92,651098.6354,30,163849.909,223052.9758,99491.06619,86340.48081,113818.0707,135822.2517,1073839.439,670886.3241,419420.0026,565551.0801,564680.7129,605916.4359,134693.6022,228011.3992,55667.50488,65037.90081,115501.7192,112534.389,956121.3243,535307.3632,226152.0569,323562.5539,491610.3398,487618.1886,x,x,x,x,,,"M+H, M+Na",,,,,,,
11.85_390.1298n,390.1297635,391.1370399,1,11.8511,0.368866667,6,2.78E-15,6.06E-14,32.17593787,HI_V,CK_V,100 - 19.2,2094589.699,12.77,51371.62509,71993.619,58057.70891,82443.7645,43606.7576,83114.6173,1846406.221,1933790.834,2224570.77,2145382.123,1847201.316,2712865.244,42230.29035,73594.02288,32484.60307,62102.61198,44251.80854,68863.91996,1643996.577,1542992.36,1199492.757,1227414.009,1608171.212,2183209.363,x,x,x,x,,,"M+H, M+Na",,,,,,,
10.30_654.1762n,654.1762145,655.183491,1,10.2988,0.652983333,0,9.69E-12,1.29E-10,4.804421072,CK_V,HI_V,100 - 28.1 - 7.63 - 1.09 - 0.341,4308722.363,13.42,4397399.71,4468039.074,3772598.049,5307764.759,3255173.102,4651359.488,1054720.54,861029.2632,843105.4033,726530.3509,947261.8519,971531.1318,3614903.484,4567362.697,2110854.053,3998192.675,3303325.099,3853844.942,939098.3074,687024.4451,454604.0245,415661.8635,824685.0127,781850.8009,x,x,x,x,,,"M+H, M+Na",,,,,,,
11.99_342.0720n,342.0720222,343.0792987,1,11.99253333,0.4822,19,6.88E-09,5.23E-08,3.064619691,HI_V,CK_V,100 - 13.3,1399240.543,11.01,486791.9131,415908.8188,538408.3766,521683.8033,270669.0372,506011.168,1547289.896,1380477.841,1442770.434,1200698.159,1307992.092,1622016.27,400169.6227,425154.3894,301251.6809,392970.0082,274672.8963,419251.3147,1377670.452,1101498.013,777944.5409,686942.3053,1138736.32,1305336.163,x,x,x,x,,,"M+H, M+Na",,,,,,,
