,,,,,,,,,,,,,,,Normalised abundance,,,,,,,,,,,,Raw abundance,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Anova (p),q Value,Max Fold Change,Highest Mean,Lowest Mean,Isotope Distribution,Maximum Abundance,Minimum CV%,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,healthy_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,infected_midrib,vip>1,splot>0.8,Anova p-value <= 0.05,Max fold change >= 2,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
8.72_564.1475n,564.1475256,563.1402491,1,8.721516667,0.821983333,57,0.000178458,0.00058513,2.576979216,CK_V,HI_V,100 - 30.8 - 7.4 - 1.3 - 0.00431,64617444.23,20.44,78333228.2,78521995.44,46038309.9,52953114.5,67699586.02,64158431.32,44838779.02,33478879.55,20987215.39,14925040.45,9109637.134,29664392.54,51844768.41,72775249.31,29308504.88,33205403.98,61882995.85,48866217.24,35924329.25,24753692.05,8488034.22,6910984.791,6730738.819,21623886.03,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.89_407.1077n,407.1077047,813.2085351,1,7.894333333,0.684166667,0,9.24E-10,1.52E-08,14.45289467,CK_V,HI_V,100 - 35.4 - 8.95 - 0.448 - 0.0127,1647055.727,18.62,1546211.492,1651503.281,1462102.78,2211566.568,1322088.822,1688861.422,84681.38962,185434.8012,70260.20969,102066.0245,234561.0066,51731.6684,1023358.523,1530635.618,930791.0423,1386810.993,1208498.041,1286319.934,67845.78413,137107.2159,28415.92146,47261.29522,173307.5477,37709.84693,x,x,x,x,,,"M-H, 2M-H",,,,,,,
8.83_311.0763n,311.076317,621.145123,1,8.833633333,1.05045,0,1.74E-06,1.16E-05,3.362196025,CK_V,HI_V,100 - 29.4,2998600.679,6.23,2815129.737,3022467.714,2860902.059,3310508.691,3100950.713,2881645.163,1745187.989,1099936.859,611239.5781,667226.3908,1366202.99,610136.6523,1863190.789,2801264.03,1821282.365,2075926.591,2834524.277,2194802.704,1398225.137,813273.8805,247208.7106,308956.713,1009431.591,444759.6699,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.87_391.1129n,391.1128952,781.218831,1,7.86635,0.5969,1,0.000679958,0.001819754,77.80243775,CK_V,HI_V,100 - 29.8 - 4.59,363668.5419,44.14,269696.7714,656889.2762,184723.1295,365276.7373,382445.6217,322979.7155,2020.915001,1324.742778,1616.314979,4350.949819,11689.26523,8228.38421,178498.5373,608813.8818,117596.8178,229054.7354,349586.7879,245997.2387,1619.134541,979.4914052,653.6997215,2014.691224,8636.720664,5998.088185,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.78_258.1099n,258.1098723,515.2124966,1,7.78375,1.82175,1,0.000327105,0.000978045,2.487668154,CK_V,HI_V,100 - 21.4 - 1.74,3943532.642,24.82,2731673.621,4239891.394,3764420.202,3053771.313,4466246.464,5405192.856,1552807.792,1998355.361,1292631.174,1240054.115,2955157.938,727827.2572,1807955.442,3929588.793,2396472.158,1914933.826,4082517.009,4116860.76,1244092.27,1477548.648,522789.5858,574202.4725,2183445.504,530550.3438,x,x,x,x,,,"M-H, 2M-H",,,,,,,
8.89_492.1263n,492.1263159,491.1190395,1,8.890066667,1.22475,48,9.66E-15,2.93E-13,34.96063935,HI_V,CK_V,100 - 24.7 - 3.88,7790715.133,17.61,222056.0015,196442.9816,203655.7833,297331.7421,154289.0251,263279.2704,9664316.291,7922584.929,6873053.036,6663774.852,7658377.358,8739073.088,146967.5415,182066.0171,129649.5578,186448.346,141032.8727,200526.443,7742942.337,5857819.324,2779726.051,3085636.304,5658462.243,6370355.308,x,x,x,x,,,"M-H, 2M-H",,,,,,,
8.97_646.2830n,646.2829619,645.2756855,1,8.9743,0.423666667,0,6.78E-07,5.17E-06,8.396375775,CK_V,HI_V,100 - 23.4 - 1.61,195221.4457,16.49,198747.5433,177828.0609,173912.8895,213108.2665,159473.2275,248258.6867,11232.51657,31905.77849,11367.12723,23660.61314,23328.31938,21611.98908,131540.8619,164813.4563,110714.8977,133634.1809,145771.6606,189086.0276,8999.366896,23590.56892,4597.301886,10955.95942,17236.34241,15754.07918,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
7.61_726.2008n,726.2008465,725.1935701,1,7.612916667,0.6565,22,1.53E-07,1.44E-06,3.377707761,CK_V,HI_V,100 - 43.9,517212.8648,14.27,642162.4763,514772.5019,420792.2421,475049.7449,539318.1131,511182.1104,154927.9969,186658.909,123005.3656,113687.3507,79205.17287,173543.2545,425014.5899,477098.1297,267881.0649,297890.2911,492981.1616,389341.4404,124126.5818,138012.2995,49748.08394,52642.50736,58521.4673,126504.5139,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.56_464.1235n,464.1234935,927.2394152,1,7.556933333,0.892133333,0,1.69E-11,3.62E-10,47.6621237,CK_V,HI_V,100 - 27.5 - 4.76 - 0.236,2105101.523,17.87,2111883.085,2127989.56,1909374.064,2707381.428,1562640.799,2211340.201,29051.13633,95910.0251,22682.68937,61785.27097,38688.90116,48411.51923,1397747.699,1972249.557,1215528.963,1697722.502,1428382.355,1684265.473,23275.44615,70914.17807,9173.748876,28609.44125,28585.64892,35289.62116,x,x,x,x,,,"M-H, 2M-H",,,,,,,
7.35_456.2353n,456.2353008,455.2280244,1,7.353216667,1.040083333,9,5.16E-07,4.08E-06,14.81822703,CK_V,HI_V,100 - 20.6,375141.6047,22.33,340731.7127,393276.4353,273854.0649,346168.1381,524988.141,371831.1364,15209.36133,51597.75763,5944.580866,10927.18138,17739.03274,30208.10517,225512.9418,364493.929,174338.5719,217072.2719,479882.3872,283204.8838,12185.57053,38150.47039,2404.216323,5059.790932,13106.64679,22020.22585,x,x,x,x,,,"M-H, M+FA-H",,,,,,,
